Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R17        SMD_0603_RESC1608X55N       -23.5mm       109.5mm       -23.5mm       109.5mm       -23.5mm       108.7mm  T         90.00 0              
R18        SMD_0603_RESC1608X55N          -7mm      102.75mm          -7mm      102.75mm          -7mm      103.55mm  T        270.00 10k            
R20        SMD_0603_RESC1608X55N          -1mm      102.75mm          -1mm      102.75mm          -1mm      103.55mm  T        270.00 10k            
R21        SMD_0603_RESC1608X55N        -2.5mm      102.75mm        -2.5mm      102.75mm        -2.5mm      103.55mm  T        270.00 10k            
R22        SMD_0603_RESC1608X55N      -13.95mm       98.25mm      -13.95mm       98.25mm      -14.75mm       98.25mm  T        360.00 10k            
R25        SMD_0603_RESC1608X55N      -9.075mm      119.25mm      -9.075mm      119.25mm      -9.075mm      118.45mm  T         90.00 0              
R31        SMD_0603_RESC1608X55N       -9.45mm       92.15mm       -9.45mm       92.15mm      -10.25mm       92.15mm  T        360.00 47             
U1         SMD_QFP50P1200X1200X120-64N       -14.5mm    109.2501mm       -14.5mm    109.2501mm      -18.25mm    103.5001mm  T         90.00 dsPIC33EP256MU806
C1_1       SMD_0603_CAPC1608X80N      -13.75mm          82mm      -13.75mm          82mm      -13.75mm        81.2mm  T         90.00 470nF          
C1_2       SMD_0603_CAPC1608X80N      -13.75mm       61.95mm      -13.75mm       61.95mm      -13.75mm       61.15mm  T         90.00 470nF          
C1_3       SMD_0603_CAPC1608X80N      -13.75mm       41.95mm      -13.75mm       41.95mm      -13.75mm       41.15mm  T         90.00 470nF          
C1_4       SMD_0603_CAPC1608X80N      -13.75mm       21.95mm      -13.75mm       21.95mm      -13.75mm       21.15mm  T         90.00 470nF          
C1_5       SMD_0603_CAPC1608X80N      -36.25mm        8.05mm      -36.25mm        8.05mm      -36.25mm        8.85mm  T        270.00 470nF          
C1_6       SMD_0603_CAPC1608X80N      -36.25mm       28.05mm      -36.25mm       28.05mm      -36.25mm       28.85mm  T        270.00 470nF          
C1_7       SMD_0603_CAPC1608X80N      -36.25mm       48.05mm      -36.25mm       48.05mm      -36.25mm       48.85mm  T        270.00 470nF          
C1_8       SMD_0603_CAPC1608X80N      -36.25mm       68.05mm      -36.25mm       68.05mm      -36.25mm       68.85mm  T        270.00 470nF          
C1_9       SMD_0603_CAPC1608X80N      -53.75mm       81.95mm      -53.75mm       81.95mm      -53.75mm       81.15mm  T         90.00 470nF          
C1_10      SMD_0603_CAPC1608X80N      -53.75mm       61.95mm      -53.75mm       61.95mm      -53.75mm       61.15mm  T         90.00 470nF          
C1_11      SMD_0603_CAPC1608X80N      -53.75mm          42mm      -53.75mm          42mm      -53.75mm        41.2mm  T         90.00 470nF          
C1_12      SMD_0603_CAPC1608X80N      -53.75mm       21.95mm      -53.75mm       21.95mm      -53.75mm       21.15mm  T         90.00 470nF          
C1_13      SMD_0603_CAPC1608X80N      -76.25mm        8.05mm      -76.25mm        8.05mm      -76.25mm        8.85mm  T        270.00 470nF          
